"year","iso3c","country","region","rank","eci.value","gdp_real","gdp_nominal","population","gdpr_pc","gdpn_pc"
1999,"mys","Malaysia","ASEAN",36,0.528765,104602741.657076,85513799.5521053,22896.048,4568.59374408527,3734.87160544498
1999,"jor","Jordan","ARAB LEAGUE",37,0.47787,8867034.8964988,8149662.461213,4699.278,1886.89302835431,1734.23714477267
1999,"arg","Argentina","MERCOSUR",42,0.407747,167330108.987423,283664852.426213,36514.558,4582.55879716312,7768.54131511637
1999,"tha","Thailand","ASEAN",48,0.28515,138465227.433307,126448286.858978,61623.143,2246.96795217516,2051.96101177407
1999,"sau","Saudi Arabia","ARAB LEAGUE",49,0.27334,246614157.244077,160957146.666667,19620.692,12569.0855982081,8203.43883216081
1999,"col","Colombia","AP",52,0.165266,119210938.473094,102898121.201315,39234.115,3038.45106415919,2622.66961294565
1999,"lbn","Lebanon","ARAB LEAGUE",53,0.162492,17911603.7141878,17009052.106954,3156.706,5674.14377968294,5388.22814254923
1999,"ven","Venezuela","MERCOSUR",55,0.129339,123717191.006838,97972842.4615131,23945.002,5166.72293478355,4091.57796109239
1999,"chl","Chile","AP",57,0.0892086,94419087.1101777,75117668.401993,15265.536,6185.11443752631,4920.73572798184
1999,"tto","Trinidad and Tobago","CARICOM",60,0.0111368,10134032.4528138,6808966.6449698,1264.781,8012.47998887855,5383.51433565953
1999,"tun","Tunisia","ARAB LEAGUE",63,-0.0684692,24966476.335657,22943285.2823031,9451.481,2641.54118657774,2427.48044272671
1999,"idn","Indonesia","ASEAN",65,-0.117758,216723241.496728,154206282.968111,NA,NA,NA
1999,"phl","Philippines","ASEAN",66,-0.179785,78878640.1039012,82995181.1794372,76018.006,1037.631006842,1091.78319120127
1999,"egy","Egypt","ARAB LEAGUE",68,-0.22815,74807288.1200168,91906116.3092556,65097.777,1149.15272943985,1411.81650963681
1999,"are","United Arab Emirates","ARAB LEAGUE",71,-0.274956,124001834.603492,84445406.5067393,2893.648,42853.1164134311,29183.0265833091
1999,"per","Peru","AP",72,-0.28456,62803651.0698718,51553399.8029557,25611.482,2452.16778435046,2012.90186186632
1999,"pan","Panama","SICA",73,-0.291037,12192783.1643045,11456345,2993.685,4072.83437111937,3826.83715888612
1999,"omn","Oman","ARAB LEAGUE",75,-0.328968,25400668.3794151,15532200.4911066,2172.287,11693.0536247812,7150.16040288719
1999,"pry","Paraguay","MERCOSUR",76,-0.358732,6942261.4040466,7300886.3743719,5240.321,1324.77789128693,1393.21357878113
1999,"cub","Cuba","OTROS LAC",77,-0.358823,31513369.1305575,28365300,11101.58,2838.63820560294,2555.06873796343
1999,"mar","Morocco","ARAB LEAGUE",81,-0.564831,45954123.2418735,39734021.2997489,28374.203,1619.57406316835,1400.35726465159
1999,"qat","Qatar","ARAB LEAGUE",82,-0.575781,27848806.5309977,12393131.8681319,572.155,48673.535197626,21660.4449286153
1999,"bol","Bolivia","CAN",84,-0.595151,8000702.9923568,8285063.9676898,8322.408,961.344720465135,995.512833267703
1999,"lby","Libya","ARAB LEAGUE",87,-0.654841,34389703.3492582,33639771.4361479,5092.939,6752.4278907048,6605.17854938924
1999,"kwt","Kuwait","ARAB LEAGUE",88,-0.656794,52258751.1864156,30123384.3310222,1818.405,28738.7854666126,16565.8279266842
1999,"ecu","Ecuador","CAN",92,-0.73729,31446721.7434845,19008024.651,12286.995,2559.35008873077,1547.00353105051
1999,"mrt","Mauritania","ARAB LEAGUE",93,-0.74992,1749472.5825724,1405659.7126893,2627.739,665.771061194586,534.931251805944
1999,"cri","Costa Rica","SICA",94,-0.757814,16051899.4319843,15796307.442083,3841.734,4178.29538223737,4111.76501082142
1999,"syr","Syria","ARAB LEAGUE",97,-0.799844,22059193.5399215,17806347.826087,15995.76,1379.06504848294,1113.1917349402
1999,"dom","Dominican Republic","SICA",98,-0.826531,26607091.0535234,21439756.337157,8527.881,3120.01199987704,2514.0778039887
1999,"jam","Jamaica","CARICOM",99,-0.848421,10329604.8548606,8831018.0392733,2558.579,4037.24288163883,3451.53229166397
1999,"gtm","Guatemala","SICA",102,-1.02518,22625698.9295506,16329755.0145486,10941.913,2067.80102615974,1492.4040261103
1999,"slv","El Salvador","SICA",103,-1.05008,14898345.7747907,12464700,5928.809,2512.8732895242,2102.3952702811
1999,"khm","Cambodia","ASEAN",106,-1.10452,3702062.6910678,3512777.9947267,11960.467,309.524928338317,293.69906666075
1999,"hnd","Honduras","SICA",109,-1.161,7349908.0038801,6471082.3076159,6107.385,1203.44599265972,1059.55041439436
1999,"sdn","Sudan","ARAB LEAGUE",111,-1.17112,22442536.7184409,10714222.6107328,NA,NA,NA
1999,"nic","Nicaragua","SICA",112,-1.20188,5198946.4841702,4856026.2736414,5021.079,1035.42415567853,967.128036352625
